Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Eccentricity,Convex_Area,Extent
12570.0,450.859008789063,178.960250854492,91.1151580810547,0.860685884952545,12886.0,0.610490500926971
10950.0,412.334014892578,166.306060791016,85.2981719970703,0.858449101448059,11172.0,0.776045382022858
11307.0,424.89599609375,173.943649291992,83.6976623535156,0.876623511314392,11499.0,0.738633394241333
13158.0,470.996002197266,201.01838684082,84.5030136108398,0.907350659370422,13462.0,0.619783341884613
11942.0,424.781005859375,168.716751098633,91.5737991333008,0.839883625507355,12188.0,0.789814829826355
15568.0,519.455993652344,222.228088378906,90.8175277709961,0.912683069705963,15984.0,0.782704889774323
9972.0,397.638000488281,165.39958190918,77.7096176147461,0.882757127285004,10230.0,0.795215308666229
12084.0,434.674011230469,177.525421142578,88.0461730957031,0.868343234062195,12321.0,0.627218961715698
13734.0,487.839996337891,213.247436523438,83.1827697753906,0.920782506465912,13941.0,0.805229842662811
9371.0,401.89599609375,170.569488525391,70.6504211425781,0.910184442996979,9542.0,0.778322279453278
10427.0,405.578002929688,170.561065673828,78.1470794677734,0.888861179351807,10588.0,0.676068186759949
11415.0,426.165008544922,173.88459777832,85.3283462524414,0.871318280696869,11634.0,0.596394956111908
13111.0,467.621002197266,193.567718505859,88.06787109375,0.890505790710449,13456.0,0.619173526763916
10685.0,421.037994384766,172.418182373047,79.9972763061523,0.88584965467453,10971.0,0.586314737796783
12598.0,466.837005615234,199.039138793945,81.8665466308594,0.911496043205261,13072.0,0.575408816337585
12556.0,474.023986816406,207.95442199707,77.7100677490234,0.927554488182068,12832.0,0.564822316169739
14560.0,487.128997802734,200.739517211914,93.2265853881836,0.885617315769196,14867.0,0.673450529575348
13540.0,458.529998779297,189.111404418945,92.3939056396484,0.872525453567505,13710.0,0.799952745437622
11986.0,432.290985107422,172.400634765625,89.6259384155273,0.85424530506134,12279.0,0.658824801445007
14471.0,491.342010498047,200.413162231445,92.8194046020508,0.88628500699997,14736.0,0.58596533536911
10267.0,424.949005126953,182.409118652344,72.5378646850586,0.917530357837677,10455.0,0.547427356243134
10536.0,397.498992919922,160.967910766602,83.6986846923828,0.854183793067932,10711.0,0.675384640693665
10134.0,406.045013427734,167.605514526367,78.0408554077148,0.884983599185944,10358.0,0.587308049201965
9679.0,390.221984863281,154.200592041016,81.986457824707,0.846940875053406,10003.0,0.620687425136566
10132.0,398.671997070313,162.845199584961,80.0743560791016,0.870752990245819,10306.0,0.668911337852478
13132.0,471.803985595703,199.556533813477,84.9883346557617,0.904776811599731,13423.0,0.753673076629639
13334.0,470.523986816406,194.319198608398,89.2918548583984,0.888171970844269,13738.0,0.624309420585632
11722.0,423.701995849609,174.956298828125,85.8146133422852,0.871445894241333,11891.0,0.611253082752228
13319.0,468.231994628906,192.92724609375,89.3376312255859,0.886324942111969,13694.0,0.695218682289124
11814.0,428.014007568359,175.579376220703,86.3215866088867,0.870799362659454,12000.0,0.784983396530151
12551.0,459.72900390625,197.682342529297,81.5702819824219,0.910897314548492,12741.0,0.81893515586853
11437.0,430.611999511719,184.134460449219,79.2405395507813,0.902666568756104,11587.0,0.687939822673798
13684.0,464.566009521484,189.531051635742,92.9057388305664,0.871617078781128,13928.0,0.605647504329681
10878.0,423.792999267578,179.846939086914,77.7978973388672,0.901596367359161,11015.0,0.580160021781921
9495.0,386.589996337891,160.572448730469,75.8551788330078,0.881381750106812,9640.0,0.668944597244263
14837.0,499.832000732422,210.067245483398,91.2686462402344,0.900684654712677,15263.0,0.680097162723541
12571.0,453.337005615234,188.702545166016,86.5485534667969,0.888616621494293,12847.0,0.791824162006378
