Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Convex_Area,Extent
11748.0,446.695007324219,190.213317871094,79.8895568847656,11926.0,0.80976015329361
14873.0,499.615997314453,210.277496337891,91.5836181640625,15195.0,0.573030233383179
12820.0,467.352996826172,197.33740234375,83.9720687866211,13104.0,0.55683445930481
15710.0,517.070007324219,214.750213623047,95.2473602294922,16259.0,0.607595920562744
11322.0,415.485992431641,165.348342895508,88.3961868286133,11545.0,0.650689661502838
11087.0,432.382995605469,177.498977661133,80.5441970825195,11380.0,0.594636619091034
12172.0,434.027008056641,180.723693847656,86.3144683837891,12311.0,0.795139789581299
12899.0,462.269012451172,190.430526733398,87.3738098144531,13132.0,0.682956516742706
10457.0,402.06298828125,157.961700439453,85.7041091918945,10719.0,0.677091419696808
11756.0,438.774993896484,184.135345458984,82.2666397094727,11969.0,0.656759798526764
13887.0,483.167999267578,203.420852661133,88.1179122924805,14240.0,0.684392094612122
10296.0,415.751007080078,172.332870483398,77.0607452392578,10514.0,0.610893547534943
12720.0,461.805999755859,197.944000244141,82.811279296875,12974.0,0.756782472133637
12432.0,446.488006591797,183.415283203125,87.7301025390625,12677.0,0.58730161190033
11016.0,416.897003173828,174.627548217773,81.1902160644531,11149.0,0.58695650100708
15773.0,515.794006347656,219.43376159668,92.6210479736328,16089.0,0.705411434173584
11470.0,427.197998046875,174.039093017578,85.1054153442383,11767.0,0.639781355857849
10215.0,401.484008789063,164.242599487305,80.2156143188477,10435.0,0.682228028774262
11869.0,434.252014160156,177.872650146484,86.1655502319336,12144.0,0.621511220932007
14256.0,492.927001953125,209.803207397461,87.6903686523438,14730.0,0.702266037464142
11343.0,420.723999023438,173.506652832031,83.8277053833008,11512.0,0.609838724136353
11679.0,439.186004638672,181.426773071289,83.5256576538086,11949.0,0.567492723464966
11161.0,420.910003662109,169.350463867188,85.3382186889648,11363.0,0.680548787117004
10470.0,419.018005371094,177.064361572266,75.6327896118164,10682.0,0.598627805709839
11271.0,404.463989257813,158.988830566406,91.3405838012695,11462.0,0.670095145702362
12657.0,455.182006835938,189.770935058594,85.6887359619141,12926.0,0.767556071281433
12326.0,441.584991455078,179.066375732422,89.2700500488281,12673.0,0.765162348747253
12343.0,443.613006591797,177.423629760742,90.4062347412109,12712.0,0.662960588932037
12244.0,442.190002441406,179.901458740234,87.8075942993164,12568.0,0.632699489593506
11590.0,435.846008300781,176.939529418945,84.8096008300781,11880.0,0.723651349544525
13589.0,479.835998535156,201.711776733398,87.1655120849609,13908.0,0.589339911937714
11242.0,427.252014160156,180.303482055664,80.2529754638672,11402.0,0.770211040973663
10846.0,418.851989746094,172.206771850586,81.6929016113281,11069.0,0.682739496231079
12504.0,445.587005615234,182.378524780273,88.6329574584961,12781.0,0.798875570297241
11217.0,424.084991455078,168.653839111328,86.4829254150391,11546.0,0.771882712841034
9598.0,397.0,172.006790161133,72.2836456298828,9766.0,0.796845138072968
11150.0,416.898986816406,168.020248413086,85.602165222168,11420.0,0.72572249174118
11599.0,432.316986083984,180.881851196289,82.3210601806641,11788.0,0.615005314350128
14533.0,487.204010009766,196.814987182617,95.8430786132813,14873.0,0.651120066642761
11549.0,440.247985839844,179.116882324219,84.4958038330078,11961.0,0.595401346683502
11828.0,437.907012939453,184.957260131836,82.3454360961914,12020.0,0.616426944732666
12735.0,441.380004882813,174.737518310547,94.1065979003906,13066.0,0.697426080703735
14011.0,493.878997802734,212.630310058594,85.028205871582,14336.0,0.627986192703247
15830.0,520.781982421875,215.139175415039,95.1714706420898,16326.0,0.61051332950592
15583.0,504.183013916016,207.846832275391,96.9117584228516,15906.0,0.685388803482056
11769.0,427.769989013672,171.657775878906,88.3839263916016,12007.0,0.628551602363586
14817.0,502.5830078125,211.529022216797,90.3851928710938,15113.0,0.56802761554718
11080.0,429.417999267578,175.215881347656,82.1778030395508,11277.0,0.569548666477203
13117.0,460.574005126953,192.404067993164,87.6289901733398,13575.0,0.784509539604187
10878.0,410.721984863281,168.797805786133,82.6865692138672,11079.0,0.689440965652466
10862.0,412.425994873047,167.386947631836,83.5316009521484,11050.0,0.672153472900391
10382.0,405.213012695313,168.42626953125,78.9587173461914,10599.0,0.801822662353516
13852.0,490.278991699219,213.985687255859,82.9664840698242,14158.0,0.728324294090271
14908.0,499.468994140625,209.119476318359,92.062873840332,15324.0,0.763338446617127
14621.0,501.825012207031,210.916488647461,89.6299285888672,15175.0,0.689084768295288
15330.0,501.696990966797,209.679321289063,93.8727264404297,15617.0,0.582623898983002
10681.0,421.256011962891,178.369445800781,77.960807800293,10929.0,0.557172656059265
11652.0,428.808013916016,169.589889526367,89.5738067626953,12067.0,0.737001895904541
